FoodID,Food_Name_English,Food_Name_Local,Base_Item,Category,Cuisine,Scientific_Name,Description,Meal_Type,Serving_Size_g,Rasa,Virya,Vipaka,Guna,Digestibility,Dosha_Suitability,Allergen_Warnings
F000012,Mango,Mango (man-loc),Mango,Oil,Mediterranean,Mangoa,Avoid in Kapha imbalance,Lunch,150,Sour,Neutral,Pungent,Oily,Tamasic,Vata:Favorable;Pitta:Favorable;Kapha:Unfavorable,Milk
F000013,Mashed Chickpea,Mashed Chickpea,Chickpea,Spice,SoutheastAsian,Chickpeaa,,Lunch,30,Sweet,Heating,Sweet,Smooth,Moderate,Vata:Neutral;Pitta:Neutral;Kapha:Unfavorable,Seafood
F000014,Baked Tea,Baked Tea,Tea,Beverage,Indian,Teaa,,Breakfast,30,Astringent,Heating,Sweet,Heavy,Easy,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,Gluten
F000015,Grilled Apple,Grilled Apple,Apple,Beverage,Mediterranean,Applea,,Lunch,100,Bitter,Cooling,Sour,Rough,Rajasic,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,Gluten
F000016,Jaggery,Jaggery,Jaggery,Grain,LatinAmerican,Jaggerya,,Dinner,100,Salty,Neutral,Sour,Oily,Easy,Vata:Favorable;Pitta:Unfavorable;Kapha:Neutral,Soy
F000017,Mango,Mango,Mango,Grain,MiddleEastern,Mangoa,,Recipe,75,Pungent,Cooling,Pungent,Rough,Easy,Vata:Favorable;Pitta:Neutral;Kapha:Unfavorable,Seafood
F000018,Banana,Banana (ban-loc),Banana,Nuts/Seeds,SoutheastAsian,Bananaa,Heating when fried,Dinner,150,Salty,Neutral,Sour,Smooth,Tamasic,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,Gluten
F000019,Grilled Cow Milk,Grilled Cow Milk,Cow Milk,Fruit,Mediterranean,Cow Milka,,Lunch,30,Sour,Neutral,Sweet,Light,Rajasic,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,Milk
F000020,Mashed Paneer,Mashed Paneer (pan-loc),Paneer,Pulses/Legume,Chinese,Paneera,May increase bile,Dinner,150,Astringent,Cooling,Sweet,Rough,Sattvic,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,Gluten
F000021,Mushroom,Mushroom,Mushroom,Spice,Chinese,Mushrooma,,Recipe,150,Sweet,Neutral,Pungent,Light,Sattvic,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,Nuts
F000022,Banana,Banana,Banana,Vegetable,LatinAmerican,Bananaa,,Breakfast,150,Astringent,Heating,Sour,Rough,Sattvic,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,Eggs
F000023,Roasted Carrot,Roasted Carrot,Carrot,Beverage,Continental,Carrota,,Lunch,100,Sour,Cooling,Sweet,Light,Easy,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Neutral,Seafood
F000024,Steamed Spinach,Steamed Spinach,Spinach,Nuts/Seeds,South Indian,Spinacha,,Breakfast,100,Sweet,Neutral,Sour,Dry,Sattvic,Vata:Neutral;Pitta:Unfavorable;Kapha:Neutral,None
F000025,Roasted Tea,Roasted Tea (tea-loc),Tea,Meat/Seafood,MiddleEastern,Teaa,Rich in antioxidants,Recipe,30,Bitter,Neutral,Sour,Oily,Difficult,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,Nuts
F000026,Tomato,Tomato (tom-loc),Tomato,Nuts/Seeds,South Indian,Tomatoa,,Dinner,150,Sour,Heating,Sweet,Moist,Rajasic,Vata:Favorable;Pitta:Favorable;Kapha:Neutral,Milk
F000027,Egg,Egg (egg-loc),Egg,Dairy,Mediterranean,Egga,,Breakfast,150,Salty,Heating,Pungent,Smooth,Moderate,Vata:Neutral;Pitta:Favorable;Kapha:Unfavorable,Nuts
F000028,Fermented Honey,Fermented Honey,Honey,Vegetable,Continental,Honeya,,Lunch,75,Astringent,Heating,Sour,Dry,Moderate,Vata:Unfavorable;Pitta:Favorable;Kapha:Neutral,Soy
F000029,Broccoli,Broccoli,Broccoli,Dairy,Mediterranean,Broccolia,,Dinner,100,Astringent,Cooling,Sour,Smooth,Tamasic,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,Eggs
F000030,Fenugreek,Fenugreek,Fenugreek,Meat/Seafood,SoutheastAsian,Fenugreeka,,Breakfast,75,Salty,Cooling,Pungent,Light,Sattvic,Vata:Favorable;Pitta:Neutral;Kapha:Unfavorable,Gluten
F000031,Mushroom,Mushroom,Mushroom,Nuts/Seeds,MiddleEastern,Mushrooma,Rich in antioxidants,Breakfast,30,Astringent,Heating,Sour,Heavy,Tamasic,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Neutral,Milk
F000032,Baked Butter,Baked Butter,Butter,Grain,Continental,Buttera,,Breakfast,100,Sour,Neutral,Pungent,Light,Easy,Vata:Unfavorable;Pitta:Neutral;Kapha:Favorable,None
F000033,Ginger,Ginger,Ginger,Spice,SoutheastAsian,Gingera,,Breakfast,100,Salty,Cooling,Sour,Light,Easy,Vata:Unfavorable;Pitta:Neutral;Kapha:Neutral,Soy
F000034,Raw Wheat Flour,Raw Wheat Flour,Wheat Flour,Meat/Seafood,South Indian,Wheat Floura,,Dinner,50,Sour,Neutral,Sweet,Heavy,Rajasic,Vata:Favorable;Pitta:Favorable;Kapha:Unfavorable,Eggs
F000035,Boiled Coffee,Boiled Coffee (cof-loc),Coffee,Vegetable,African,Coffeea,,Recipe,150,Pungent,Cooling,Pungent,Light,Difficult,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,Eggs
F000036,Quinoa,Quinoa (qui-loc),Quinoa,Beverage,SoutheastAsian,Quinoaa,,Dinner,75,Sweet,Cooling,Sour,Rough,Tamasic,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,Eggs
F000037,Cumin,Cumin,Cumin,Grain,MiddleEastern,Cumina,,Lunch,150,Pungent,Heating,Sweet,Oily,Tamasic,Vata:Favorable;Pitta:Favorable;Kapha:Neutral,Milk
F000038,Grilled Mushroom,Grilled Mushroom,Mushroom,Vegetable,South Indian,Mushrooma,,Breakfast,150,Astringent,Heating,Sour,Light,Difficult,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,None
F000039,Mashed Coriander,Mashed Coriander,Coriander,Spice,South Indian,Coriandera,,Breakfast,30,Sour,Neutral,Sour,Dry,Tamasic,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Unfavorable,Eggs
F000040,Almond,Almond,Almond,Pulses/Legume,African,Almonda,,Dinner,50,Sour,Heating,Sour,Smooth,Sattvic,Vata:Neutral;Pitta:Unfavorable;Kapha:Neutral,Soy
F000041,Rice,Rice (ric-loc),Rice,Fruit,LatinAmerican,Ricea,,Dinner,100,Salty,Neutral,Sweet,Moist,Easy,Vata:Neutral;Pitta:Unfavorable;Kapha:Neutral,Seafood
F000042,Honey,Honey,Honey,Beverage,Mediterranean,Honeya,,Lunch,150,Astringent,Neutral,Pungent,Heavy,Difficult,Vata:Neutral;Pitta:Unfavorable;Kapha:Neutral,Nuts
F000043,Dates,Dates (dat-loc),Dates,Grain,Mediterranean,Datesa,,Dinner,30,Sweet,Cooling,Sour,Moist,Tamasic,Vata:Favorable;Pitta:Neutral;Kapha:Unfavorable,Milk
F000044,Ginger,Ginger,Ginger,Fruit,Indian,Gingera,,Dinner,50,Sour,Cooling,Sweet,Moist,Difficult,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,Gluten
F000045,Black Pepper,Black Pepper,Black Pepper,Fruit,Chinese,Black Peppera,,Recipe,75,Bitter,Neutral,Sour,Heavy,Rajasic,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,Soy
F000046,Roasted Carrot,Roasted Carrot (car-loc),Carrot,Spice,Mediterranean,Carrota,Rich in antioxidants,Lunch,100,Sweet,Cooling,Pungent,Dry,Rajasic,Vata:Neutral;Pitta:Neutral;Kapha:Unfavorable,Seafood
F000047,Curried Tea,Curried Tea (tea-loc),Tea,Fruit,African,Teaa,May increase bile,Lunch,75,Sour,Neutral,Sour,Smooth,Easy,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,None
F000048,Curried Broccoli,Curried Broccoli,Broccoli,Vegetable,LatinAmerican,Broccolia,,Snack,75,Astringent,Heating,Sweet,Dry,Moderate,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,None
F000049,Sugar,Sugar,Sugar,Pulses/Legume,Chinese,Sugara,Cooling post-meal,Breakfast,50,Sour,Cooling,Sour,Heavy,Difficult,Vata:Unfavorable;Pitta:Neutral;Kapha:Favorable,Soy
F000050,Fried Rice,Fried Rice,Rice,Oil,LatinAmerican,Ricea,High fibre,Snack,100,Sweet,Cooling,Sour,Oily,Tamasic,Vata:Neutral;Pitta:Favorable;Kapha:Neutral,None
F000051,Papaya,Papaya (pap-loc),Papaya,Nuts/Seeds,LatinAmerican,Papayaa,,Snack,75,Salty,Heating,Sweet,Smooth,Sattvic,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,Eggs
F000052,Goat Milk,Goat Milk (goa-loc),Goat Milk,Dairy,LatinAmerican,Goat Milka,,Dinner,30,Salty,Cooling,Pungent,Moist,Moderate,Vata:Neutral;Pitta:Neutral;Kapha:Neutral,Soy
F000053,Mango,Mango,Mango,Pulses/Legume,SoutheastAsian,Mangoa,,Lunch,30,Bitter,Cooling,Sour,Moist,Rajasic,Vata:Neutral;Pitta:Favorable;Kapha:Neutral,None
F000054,Mashed Fenugreek,Mashed Fenugreek,Fenugreek,Spice,South Indian,Fenugreeka,Avoid in Kapha imbalance,Dinner,100,Sour,Heating,Pungent,Oily,Tamasic,Vata:Neutral;Pitta:Neutral;Kapha:Unfavorable,Eggs
F000055,Coconut Oil,Coconut Oil,Coconut Oil,Beverage,MiddleEastern,Coconut Oila,Rich in antioxidants,Dinner,150,Salty,Cooling,Sour,Dry,Tamasic,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,Eggs
F000056,Roasted Black Pepper,Roasted Black Pepper,Black Pepper,Dairy,Continental,Black Peppera,,Snack,75,Bitter,Cooling,Sour,Smooth,Moderate,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,Gluten
F000057,Curried Mutton,Curried Mutton,Mutton,Meat/Seafood,Continental,Muttona,,Breakfast,150,Pungent,Neutral,Pungent,Dry,Sattvic,Vata:Unfavorable;Pitta:Favorable;Kapha:Neutral,Milk
F000058,Coffee,Coffee,Coffee,Beverage,African,Coffeea,,Lunch,75,Pungent,Cooling,Pungent,Smooth,Moderate,Vata:Favorable;Pitta:Unfavorable;Kapha:Neutral,Nuts
F000059,Sprouted Cumin,Sprouted Cumin,Cumin,Grain,Indian,Cumina,,Snack,150,Bitter,Cooling,Sour,Heavy,Sattvic,Vata:Unfavorable;Pitta:Neutral;Kapha:Neutral,Milk
F000060,Coriander,Coriander,Coriander,Nuts/Seeds,South Indian,Coriandera,,Dinner,75,Pungent,Neutral,Sour,Light,Moderate,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,Milk
F000061,Apple,Apple,Apple,Fruit,Mediterranean,Applea,,Lunch,50,Bitter,Neutral,Sour,Dry,Tamasic,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,Nuts
F000062,Broccoli,Broccoli,Broccoli,Beverage,MiddleEastern,Broccolia,,Snack,30,Pungent,Neutral,Sweet,Smooth,Rajasic,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,Soy
F000063,Buckwheat,Buckwheat,Buckwheat,Vegetable,Chinese,Buckwheata,,Breakfast,150,Pungent,Neutral,Sweet,Oily,Rajasic,Vata:Favorable;Pitta:Unfavorable;Kapha:Neutral,Eggs
F000064,Goat Milk,Goat Milk,Goat Milk,Pulses/Legume,Continental,Goat Milka,,Breakfast,30,Sour,Heating,Sweet,Moist,Rajasic,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,Eggs
F000065,Ginger,Ginger,Ginger,Meat/Seafood,Indian,Gingera,,Snack,75,Bitter,Cooling,Sour,Rough,Moderate,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,Eggs
F000066,Sesame,Sesame (ses-loc),Sesame,Oil,Mediterranean,Sesamea,Beneficial for digestion,Dinner,75,Astringent,Neutral,Pungent,Smooth,Moderate,Vata:Favorable;Pitta:Favorable;Kapha:Favorable,Nuts
F000067,Sugar,Sugar,Sugar,Beverage,LatinAmerican,Sugara,,Snack,75,Astringent,Cooling,Sweet,Oily,Sattvic,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,Gluten
F000068,Buckwheat,Buckwheat (buc-loc),Buckwheat,Fruit,Mediterranean,Buckwheata,,Breakfast,50,Salty,Cooling,Sour,Oily,Rajasic,Vata:Neutral;Pitta:Neutral;Kapha:Favorable,None
F000069,Coffee,Coffee (cof-loc),Coffee,Grain,MiddleEastern,Coffeea,,Dinner,100,Pungent,Cooling,Sweet,Dry,Moderate,Vata:Neutral;Pitta:Favorable;Kapha:Unfavorable,None
F000070,Dates,Dates,Dates,Spice,LatinAmerican,Datesa,,Lunch,75,Sour,Cooling,Sour,Light,Sattvic,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,Seafood
F000071,Curried Quinoa,Curried Quinoa,Quinoa,Nuts/Seeds,MiddleEastern,Quinoaa,,Breakfast,30,Bitter,Heating,Pungent,Smooth,Easy,Vata:Neutral;Pitta:Favorable;Kapha:Neutral,None
F000072,Mushroom,Mushroom,Mushroom,Oil,Indian,Mushrooma,,Dinner,75,Sweet,Neutral,Sour,Heavy,Easy,Vata:Favorable;Pitta:Unfavorable;Kapha:Unfavorable,Nuts
F000073,Fried Coriander,Fried Coriander (cor-loc),Coriander,Beverage,Indian,Coriandera,,Recipe,75,Salty,Heating,Sour,Smooth,Difficult,Vata:Favorable;Pitta:Neutral;Kapha:Favorable,Nuts
F000074,Baked Lentil,Baked Lentil (len-loc),Lentil,Oil,South Indian,Lentila,Use in moderation for Pitta,Recipe,150,Bitter,Neutral,Pungent,Heavy,Moderate,Vata:Favorable;Pitta:Favorable;Kapha:Unfavorable,Seafood
F000075,Grilled Paneer,Grilled Paneer,Paneer,Oil,Mediterranean,Paneera,Good for Vata,Snack,50,Pungent,Heating,Sour,Rough,Tamasic,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,None
F000076,Curried Fish,Curried Fish,Fish,Dairy,MiddleEastern,Fisha,,Breakfast,75,Sour,Heating,Sour,Light,Difficult,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,None
F000077,Roasted Apple,Roasted Apple (app-loc),Apple,Meat/Seafood,LatinAmerican,Applea,,Recipe,75,Pungent,Heating,Pungent,Smooth,Tamasic,Vata:Favorable;Pitta:Unfavorable;Kapha:Unfavorable,Soy
F000078,Goat Milk,Goat Milk,Goat Milk,Fruit,South Indian,Goat Milka,Heating when fried,Lunch,150,Astringent,Neutral,Sour,Oily,Tamasic,Vata:Unfavorable;Pitta:Neutral;Kapha:Neutral,Eggs
F000079,Chickpea,Chickpea (chi-loc),Chickpea,Oil,MiddleEastern,Chickpeaa,Beneficial for digestion,Snack,150,Salty,Heating,Pungent,Smooth,Rajasic,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,Soy
F000080,Paneer,Paneer,Paneer,Beverage,Mediterranean,Paneera,Rich in iron,Snack,150,Astringent,Heating,Pungent,Light,Easy,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,Milk
F000081,Sprouted Mushroom,Sprouted Mushroom,Mushroom,Beverage,Continental,Mushrooma,,Recipe,75,Bitter,Heating,Pungent,Oily,Rajasic,Vata:Favorable;Pitta:Neutral;Kapha:Neutral,Nuts
F000082,Chicken,Chicken,Chicken,Meat/Seafood,LatinAmerican,Chickena,,Dinner,150,Sweet,Heating,Sour,Rough,Rajasic,Vata:Neutral;Pitta:Unfavorable;Kapha:Favorable,Seafood
F000083,Banana,Banana (ban-loc),Banana,Fruit,Continental,Bananaa,,Breakfast,75,Astringent,Neutral,Pungent,Rough,Moderate,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,Seafood
F000084,Carrot,Carrot,Carrot,Grain,SoutheastAsian,Carrota,,Dinner,100,Sweet,Neutral,Sour,Dry,Rajasic,Vata:Favorable;Pitta:Neutral;Kapha:Neutral,None
F000085,Cabbage,Cabbage,Cabbage,Beverage,MiddleEastern,Cabbagea,,Dinner,50,Salty,Heating,Sweet,Heavy,Tamasic,Vata:Unfavorable;Pitta:Favorable;Kapha:Neutral,Soy
F000086,Paneer,Paneer (pan-loc),Paneer,Vegetable,MiddleEastern,Paneera,,Recipe,100,Pungent,Cooling,Pungent,Rough,Easy,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,None
F000087,Fermented Mango,Fermented Mango,Mango,Vegetable,Mediterranean,Mangoa,,Breakfast,150,Salty,Cooling,Pungent,Rough,Difficult,Vata:Favorable;Pitta:Favorable;Kapha:Neutral,None
F000088,Mashed Mutton,Mashed Mutton,Mutton,Oil,Chinese,Muttona,,Snack,50,Salty,Cooling,Sour,Oily,Moderate,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,Milk
F000089,Mutton,Mutton (mut-loc),Mutton,Spice,African,Muttona,,Lunch,50,Pungent,Heating,Pungent,Smooth,Difficult,Vata:Neutral;Pitta:Neutral;Kapha:Favorable,Gluten
F000090,Sugar,Sugar,Sugar,Beverage,African,Sugara,,Lunch,75,Pungent,Heating,Pungent,Moist,Sattvic,Vata:Neutral;Pitta:Neutral;Kapha:Unfavorable,Seafood
F000091,Ghee,Ghee (ghe-loc),Ghee,Beverage,LatinAmerican,Gheea,,Breakfast,50,Bitter,Heating,Pungent,Oily,Tamasic,Vata:Neutral;Pitta:Neutral;Kapha:Neutral,None
F000092,Sprouted Raisins,Sprouted Raisins (rai-loc),Raisins,Fruit,Indian,Raisinsa,,Snack,75,Pungent,Neutral,Sweet,Dry,Moderate,Vata:Neutral;Pitta:Unfavorable;Kapha:Unfavorable,Eggs
F000093,Fried Butter,Fried Butter,Butter,Vegetable,Continental,Buttera,,Breakfast,100,Astringent,Cooling,Pungent,Heavy,Difficult,Vata:Favorable;Pitta:Favorable;Kapha:Unfavorable,Eggs
F000094,Almond,Almond,Almond,Grain,Indian,Almonda,,Breakfast,100,Astringent,Cooling,Sweet,Light,Easy,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,Gluten
F000095,Almond,Almond,Almond,Dairy,African,Almonda,Beneficial for digestion,Breakfast,50,Bitter,Heating,Pungent,Smooth,Easy,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,Gluten
F000096,Raw Banana,Raw Banana,Banana,Meat/Seafood,Chinese,Bananaa,,Breakfast,150,Salty,Heating,Sour,Smooth,Tamasic,Vata:Neutral;Pitta:Neutral;Kapha:Favorable,None
F000097,Roasted Mutton,Roasted Mutton,Mutton,Meat/Seafood,South Indian,Muttona,,Snack,30,Bitter,Cooling,Sour,Dry,Difficult,Vata:Neutral;Pitta:Neutral;Kapha:Favorable,Eggs
F000098,Buckwheat,Buckwheat,Buckwheat,Beverage,African,Buckwheata,,Recipe,75,Salty,Neutral,Pungent,Heavy,Moderate,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,Nuts
F000099,Chicken,Chicken,Chicken,Oil,Indian,Chickena,May increase bile,Lunch,50,Bitter,Neutral,Sour,Dry,Tamasic,Vata:Neutral;Pitta:Neutral;Kapha:Neutral,Gluten
F000100,Sprouted Dates,Sprouted Dates,Dates,Dairy,Chinese,Datesa,Good for Vata,Breakfast,100,Sour,Cooling,Sweet,Light,Rajasic,Vata:Unfavorable;Pitta:Favorable;Kapha:Neutral,Gluten
F000101,Baked Spinach,Baked Spinach (spi-loc),Spinach,Pulses/Legume,Chinese,Spinacha,,Dinner,50,Pungent,Neutral,Sweet,Dry,Rajasic,Vata:Favorable;Pitta:Neutral;Kapha:Neutral,None
F000102,Fermented Honey,Fermented Honey,Honey,Grain,LatinAmerican,Honeya,Cooling post-meal,Recipe,30,Bitter,Cooling,Pungent,Light,Moderate,Vata:Neutral;Pitta:Unfavorable;Kapha:Favorable,Milk
F000103,Curried Honey,Curried Honey (hon-loc),Honey,Meat/Seafood,SoutheastAsian,Honeya,,Recipe,100,Pungent,Cooling,Pungent,Light,Tamasic,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,Gluten
F000104,Mashed Potato,Mashed Potato,Potato,Beverage,Chinese,Potatoa,,Lunch,100,Astringent,Cooling,Sweet,Dry,Sattvic,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Neutral,Soy
F000105,Pumpkin,Pumpkin,Pumpkin,Fruit,Chinese,Pumpkina,,Snack,50,Sweet,Neutral,Pungent,Dry,Difficult,Vata:Neutral;Pitta:Unfavorable;Kapha:Favorable,Nuts
F000106,Baked Quinoa,Baked Quinoa,Quinoa,Vegetable,Continental,Quinoaa,,Snack,30,Salty,Neutral,Pungent,Moist,Tamasic,Vata:Neutral;Pitta:Favorable;Kapha:Neutral,Milk
F000107,Fried Sesame,Fried Sesame (ses-loc),Sesame,Pulses/Legume,African,Sesamea,Use in moderation for Pitta,Lunch,100,Pungent,Heating,Pungent,Moist,Sattvic,Vata:Favorable;Pitta:Neutral;Kapha:Neutral,Seafood
F000108,Cauliflower,Cauliflower,Cauliflower,Dairy,LatinAmerican,Cauliflowera,,Snack,150,Astringent,Neutral,Sour,Oily,Easy,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,Nuts
F000109,Fried Tea,Fried Tea,Tea,Fruit,Chinese,Teaa,,Recipe,75,Sweet,Cooling,Sour,Light,Easy,Vata:Neutral;Pitta:Favorable;Kapha:Neutral,Gluten
F000110,Sprouted Chicken,Sprouted Chicken,Chicken,Oil,MiddleEastern,Chickena,,Recipe,50,Pungent,Cooling,Pungent,Oily,Moderate,Vata:Unfavorable;Pitta:Neutral;Kapha:Unfavorable,Eggs
F000111,Roasted Cow Milk,Roasted Cow Milk (cow-loc),Cow Milk,Vegetable,South Indian,Cow Milka,,Breakfast,100,Astringent,Heating,Pungent,Smooth,Difficult,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,Eggs
F000112,Curried Chicken,Curried Chicken (chi-loc),Chicken,Vegetable,LatinAmerican,Chickena,,Lunch,30,Pungent,Cooling,Pungent,Rough,Rajasic,Vata:Favorable;Pitta:Unfavorable;Kapha:Favorable,Eggs
F000113,Fish,Fish (fis-loc),Fish,Oil,Mediterranean,Fisha,,Lunch,30,Bitter,Heating,Pungent,Rough,Difficult,Vata:Unfavorable;Pitta:Favorable;Kapha:Favorable,Milk
F000114,Cauliflower,Cauliflower,Cauliflower,Pulses/Legume,Mediterranean,Cauliflowera,,Dinner,100,Pungent,Cooling,Pungent,Smooth,Sattvic,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Unfavorable,None
F000115,Boiled Pumpkin,Boiled Pumpkin,Pumpkin,Spice,SoutheastAsian,Pumpkina,,Lunch,50,Pungent,Cooling,Sweet,Dry,Tamasic,Vata:Favorable;Pitta:Favorable;Kapha:Neutral,Nuts
F000116,Roasted Salt,Roasted Salt (sal-loc),Salt,Spice,LatinAmerican,Salta,,Lunch,50,Sour,Neutral,Sour,Smooth,Moderate,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,Gluten
F000117,Sweet Potato,Sweet Potato,Sweet Potato,Spice,LatinAmerican,Sweet Potatoa,,Recipe,50,Salty,Neutral,Sour,Rough,Moderate,Vata:Favorable;Pitta:Unfavorable;Kapha:Neutral,Eggs
F000118,Mashed Cabbage,Mashed Cabbage,Cabbage,Vegetable,Mediterranean,Cabbagea,,Dinner,150,Sweet,Cooling,Sweet,Light,Tamasic,Vata:Favorable;Pitta:Unfavorable;Kapha:Unfavorable,None
F000119,Quinoa,Quinoa (qui-loc),Quinoa,Oil,SoutheastAsian,Quinoaa,,Breakfast,100,Salty,Cooling,Sweet,Light,Difficult,Vata:Favorable;Pitta:Favorable;Kapha:Neutral,Seafood
F000120,Sauteed Peanut,Sauteed Peanut (pea-loc),Peanut,Grain,South Indian,Peanuta,Rich in iron,Recipe,100,Pungent,Cooling,Sweet,Oily,Tamasic,Vata:Unfavorable;Pitta:Neutral;Kapha:Favorable,Seafood
F000121,Sprouted Butter,Sprouted Butter (but-loc),Butter,Spice,MiddleEastern,Buttera,,Snack,100,Salty,Heating,Sour,Dry,Rajasic,Vata:Favorable;Pitta:Neutral;Kapha:Unfavorable,Seafood
F000122,Fried Pumpkin,Fried Pumpkin,Pumpkin,Dairy,African,Pumpkina,,Snack,100,Astringent,Neutral,Sour,Heavy,Rajasic,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,Seafood
F000123,Beetroot,Beetroot (bee-loc),Beetroot,Spice,African,Beetroota,,Lunch,75,Bitter,Cooling,Sour,Light,Difficult,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Favorable,Seafood
F000124,Black Pepper,Black Pepper,Black Pepper,Spice,LatinAmerican,Black Peppera,Cooling post-meal,Recipe,75,Salty,Heating,Pungent,Heavy,Difficult,Vata:Favorable;Pitta:Favorable;Kapha:Favorable,None
